,ID,niveau_scolaire,type_texte,session,redacteur,debut_burst,duree_burst,duree_pause,duree_cycle,pct_burst,pct_pause,longueur_burst,burst,startPos,endPos,docLength,categ,cluster
399,P01CM2N1,CM2,narratif,0.0,7.0,378.037,15.195,6.412,21.607,0.703244319,0.296755681,5.0,fois ,13.0,18.0,18.0,RB,3
400,P01CM2N1,CM2,narratif,0.0,7.0,397.444,10.592,4.212,14.804,0.715482302,0.284517698,17.0,des filles taquin,18.0,35.0,35.0,P,3
401,P01CM2N1,CM2,narratif,0.0,7.0,412.03,5.46,3.994,9.454,0.577533319,0.422466681,6.0,er Jal,35.0,41.0,41.0,P,1
402,P01CM2N1,CM2,narratif,0.0,7.0,422.341,12.527,4.851,17.378,0.720853953,0.279146047,7.0,alédine,41.0,48.0,48.0,P,3
403,P01CM2N1,CM2,narratif,0.0,7.0,439.548,14.711,4.68,19.391,0.758650921,0.241349079,9.0, et il a ,48.0,57.0,57.0,P,3
404,P01CM2N1,CM2,narratif,0.0,7.0,459.314,15.381,5.055,20.436,0.752642396,0.247357604,9.0,été puni.,57.0,66.0,66.0,P,3
405,P01CM2N1,CM2,narratif,0.0,7.0,483.057,34.663,8.362,43.025,0.805647879,0.194352121,24.0,Il est partit dans le ha,68.0,90.0,90.0,P,0
406,P01CM2N1,CM2,narratif,0.0,7.0,522.042,7.815,4.322,12.137,0.643898822,0.356101178,3.0,ule,90.0,93.0,93.0,RB,1
407,P01CM2N1,CM2,narratif,0.0,7.0,534.381,0.063,4.524,4.587,0.013734467,0.986265533,1.0,.,93.0,94.0,94.0,P,1
408,P01CM2N1,CM2,narratif,0.0,7.0,539.857,6.614,5.413,12.027,0.549929326,0.450070674,10.0,les fille ,94.0,104.0,104.0,P,1
409,P01CM2N1,CM2,narratif,0.0,7.0,551.729,10.483,5.258,15.741,0.665967855,0.334032145,15.0,luis fesais des,104.0,95.0,119.0,P,3
410,P01CM2N1,CM2,narratif,0.0,7.0,570.542,1.716,8.33,10.046,0.170814254,0.829185746,1.0,L,94.0,119.0,119.0,R,1
411,P01CM2N1,CM2,narratif,0.0,7.0,578.732,30.67,6.474,37.144,0.825705363,0.174294637,23.0, grimasse derière la vi,119.0,142.0,142.0,P,0
412,P01CM2N1,CM2,narratif,0.0,7.0,623.941,3.744,14.539,18.283,0.204780397,0.795219603,3.0,tre,142.0,145.0,145.0,P,3
413,P01CM2N1,CM2,narratif,0.0,7.0,636.5,1.56,8.815,10.375,0.150361446,0.849638554,3.0, et,145.0,148.0,148.0,P,1
414,P01CM2N1,CM2,narratif,0.0,7.0,642.287,16.677,4.227,20.904,0.797789897,0.202210103,17.0,sa a mi en colère,148.0,148.0,165.0,P,3
417,P01CM2N1,CM2,narratif,0.0,7.0,685.484,34.445,10.171,44.616,0.772032455,0.227967545,30.0,donc il c' est lever et as mi ,167.0,196.0,197.0,P,0
418,P01CM2N1,CM2,narratif,0.0,7.0,733.688,14.711,13.759,28.47,0.516719354,0.483280646,20.0,esseiller de meitre ,196.0,214.0,215.0,RB,3
419,P01CM2N1,CM2,narratif,0.0,7.0,755.17,15.069,6.771,21.84,0.689972527,0.310027473,16.0,un gros coup de ,214.0,230.0,231.0,P,3
420,P01CM2N1,CM2,narratif,0.0,7.0,775.699,17.316,5.46,22.776,0.760273973,0.239726027,17.0,poit des la vitre,230.0,247.0,248.0,P,3
421,P01CM2N1,CM2,narratif,0.0,7.0,797.711,14.586,4.696,19.282,0.756456799,0.243543201,9.0,... mais ,247.0,217.0,257.0,P,3
425,P01CM2N1,CM2,narratif,0.0,7.0,847.257,12.558,4.15,16.708,0.751615992,0.248384008,8.0,maleureu,259.0,267.0,267.0,P,3
426,P01CM2N1,CM2,narratif,0.0,7.0,864.901,4.914,5.086,10.0,0.4914,0.5086,7.0,sement ,267.0,254.0,274.0,P,1
427,P01CM2N1,CM2,narratif,0.0,7.0,882.997,2.153,13.182,15.335,0.140397783,0.859602217,2.0, M,254.0,253.0,276.0,R,1
429,P01CM2N1,CM2,narratif,0.0,7.0,896.787,13.151,4.664,17.815,0.738198148,0.261801852,12.0,sa a marcher,274.0,286.0,286.0,P,3
430,P01CM2N1,CM2,narratif,0.0,7.0,914.899,30.327,4.961,35.288,0.859413965,0.140586035,24.0, est il c'est ouvers le ,286.0,310.0,310.0,P,0
431,P01CM2N1,CM2,narratif,0.0,7.0,950.296,3.775,5.07,8.845,0.426794799,0.573205201,4.0,bras,310.0,314.0,314.0,P,1
432,P01CM2N1,CM2,narratif,0.0,7.0,957.986,1.545,3.915,5.46,0.282967033,0.717032967,2.0, e,314.0,316.0,316.0,P,1
